name,date_start,date_end,citation,other
Gary Ridgeway's Des Moines Residence,1989-09-01,1997-11-01,[3],"2136 S 253rd St, Des Moines, WA 98198"
Gary Ridgway's Auburn Residence,1997-11-01,,[1] p. 475,"4633 S 348th St, Auburn, WA 98001"
Gary Ridgway's Mother's Residence,,,[1] p. 475 ,"4404 S 175th St, SeaTac, WA 98188"
Gary Ridgway's Sea-Tac Residence,1982-01-01,1989-08-01,[3],"21859 32nd Pl S, SeaTac, WA 98198"
Kenworth Trucking Company,1969-01-01,2001-11-03,"[3], [4]","1601 N 8th St, Renton, WA 98057"
